	count
_wt	24413
var0001	282
var0002	277
var0003	125
var0004	76
var0005	186
var0006	194
var0007	105
var0008	206
var0009	135
var0010	127
var0011	218
var0012	274
var0013	84
var0014	129
var0015	141
var0016	131
var0017	378
var0018	251
var0019	131
var0020	146
var0021	236
var0022	151
var0023	109
var0024	171
var0025	106
var0026	114
var0027	110
var0028	317
var0029	51
var0030	144
var0031	209
var0032	168
var0033	87
var0034	182
var0035	176
var0036	57
var0037	50
var0038	513
var0039	191
var0040	233
var0041	139
var0042	120
var0043	171
var0044	255
var0045	69
var0046	447
var0047	213
var0048	214
var0049	199
var0050	169
var0051	147
var0052	237
var0053	180
var0054	229
var0055	300
var0056	149
var0057	130
var0058	112
var0059	211
var0060	424
var0061	340
var0062	187
var0063	296
var0064	226
var0065	261
var0066	152
var0067	500
var0068	277
var0069	586
var0070	132
var0071	113
var0072	179
var0073	163
var0074	242
var0075	161
var0076	88
var0077	104
var0078	379
var0079	60
var0080	396
var0081	107
var0082	77
var0083	126
var0084	143
var0085	158
var0086	47
var0087	268
var0088	81
var0089	242
var0090	141
var0091	301
var0092	192
var0093	155
var0094	191
var0095	205
var0096	263
var0097	155
var0098	249
var0099	282
var0100	137
var0101	176
var0102	238
var0103	152
var0104	114
var0105	142
var0106	215
var0107	347
var0108	257
var0109	115
var0110	162
var0111	135
var0112	110
var0113	103
var0114	296
var0115	77
var0116	179
var0117	172
var0118	47
var0119	263
var0120	331
var0121	213
var0122	114
var0123	131
var0124	288
var0125	274
var0126	320
var0127	196
var0128	211
var0129	565
var0130	316
var0131	100
var0132	389
var0133	232
var0134	339
var0135	159
var0136	58
var0137	99
var0138	201
var0139	228
var0140	135
var0141	249
var0142	191
var0143	177
var0144	130
var0145	266
var0146	327
var0147	84
var0148	223
var0149	283
var0150	175
var0151	53
var0152	100
var0153	396
var0154	286
var0155	142
var0156	94
var0157	334
var0158	110
var0159	95
var0160	123
var0161	192
var0162	297
var0163	307
var0164	259
var0165	143
var0166	237
var0167	282
var0168	53
var0169	77
var0170	200
var0171	254
var0172	259
var0173	310
var0174	144
var0175	89
var0176	25
var0177	105
var0178	79
var0179	192
var0180	131
var0181	219
var0182	306
var0183	237
var0184	151
var0185	143
var0186	318
var0187	169
var0188	258
var0189	301
var0190	371
var0191	136
var0192	171
var0193	100
var0194	434
var0195	62
var0196	239
var0197	215
var0198	118
var0199	149
var0200	190
var0201	217
var0202	84
var0203	243
var0204	261
var0205	185
var0206	262
var0207	203
var0208	230
var0209	170
var0210	201
var0211	107
var0212	172
var0213	172
var0214	160
var0215	163
var0216	95
var0217	346
var0218	199
var0219	141
var0220	96
var0221	285
var0222	91
var0223	103
var0224	210
var0225	242
var0226	118
var0227	73
var0228	155
var0229	96
var0230	257
var0231	77
var0232	149
var0233	109
var0234	189
var0235	162
var0236	218
var0237	121
