	count
_wt	24329
var0001	261
var0002	338
var0003	220
var0004	98
var0005	202
var0006	212
var0007	361
var0008	175
var0009	82
var0010	135
var0011	151
var0012	212
var0013	221
var0014	276
var0015	127
var0016	117
var0017	200
var0018	253
var0019	150
var0020	233
var0021	230
var0022	159
var0023	93
var0024	414
var0025	47
var0026	79
var0027	87
var0028	178
var0029	124
var0030	87
var0031	238
var0032	221
var0033	257
var0034	118
var0035	178
var0036	59
var0037	96
var0038	201
var0039	298
var0040	195
var0041	128
var0042	84
var0043	211
var0044	527
var0045	356
var0046	467
var0047	308
var0048	192
var0049	127
var0050	121
var0051	260
var0052	177
var0053	569
var0054	465
var0055	326
var0056	393
var0057	172
var0058	147
var0059	179
var0060	113
var0061	196
var0062	224
var0063	228
var0064	147
var0065	187
var0066	149
var0067	298
var0068	184
var0069	415
var0070	344
var0071	74
var0072	113
var0073	454
var0074	186
var0075	248
var0076	117
var0077	49
var0078	366
var0079	79
var0080	370
var0081	242
var0082	61
var0083	100
var0084	75
var0085	163
var0086	56
var0087	324
var0088	141
var0089	216
var0090	167
var0091	337
var0092	229
var0093	108
var0094	146
var0095	244
var0096	180
var0097	353
var0098	133
var0099	347
var0100	172
var0101	189
var0102	100
var0103	76
var0104	271
var0105	93
var0106	176
var0107	225
var0108	274
var0109	83
var0110	123
var0111	131
var0112	75
var0113	86
var0114	101
var0115	90
var0116	247
var0117	191
var0118	121
var0119	446
var0120	165
var0121	493
var0122	200
var0123	269
var0124	259
var0125	222
var0126	279
var0127	320
var0128	121
var0129	281
var0130	527
var0131	87
var0132	356
var0133	207
var0134	93
var0135	198
var0136	110
var0137	134
var0138	83
var0139	138
var0140	183
var0141	210
var0142	224
var0143	255
var0144	238
var0145	171
var0146	84
var0147	140
var0148	200
var0149	59
var0150	187
var0151	114
var0152	99
var0153	392
var0154	66
var0155	178
var0156	322
var0157	407
var0158	223
var0159	112
var0160	118
var0161	158
var0162	271
var0163	492
var0164	255
var0165	246
var0166	196
var0167	479
var0168	141
var0169	153
var0170	231
var0171	151
var0172	305
var0173	241
var0174	204
var0175	106
var0176	87
var0177	141
var0178	159
var0179	474
var0180	169
var0181	445
var0182	235
var0183	453
var0184	206
var0185	127
var0186	238
var0187	93
var0188	129
var0189	117
var0190	205
var0191	151
var0192	210
var0193	84
var0194	189
var0195	154
var0196	298
var0197	216
var0198	170
var0199	176
var0200	211
var0201	177
var0202	139
var0203	253
var0204	197
var0205	198
var0206	123
var0207	139
var0208	269
var0209	171
var0210	166
var0211	199
var0212	127
var0213	305
var0214	78
var0215	115
var0216	178
var0217	447
var0218	174
var0219	449
var0220	125
var0221	163
var0222	119
var0223	80
var0224	253
var0225	337
var0226	144
var0227	138
var0228	209
var0229	105
var0230	89
var0231	121
var0232	176
var0233	80
var0234	105
var0235	237
var0236	124
var0237	190
var0238	370
var0239	206
var0240	134
var0241	198
var0242	179
var0243	111
var0244	144
var0245	345
var0246	121
var0247	154
var0248	203
var0249	129
var0250	107
var0251	167
var0252	189
var0253	206
var0254	388
