	count
_wt	26558
var0001	382
var0002	71
var0003	94
var0004	74
var0005	257
var0006	151
var0007	350
var0008	122
var0009	366
var0010	409
var0011	48
var0012	104
var0013	535
var0014	231
var0015	110
var0016	307
var0017	192
var0018	128
var0019	92
var0020	203
var0021	34
var0022	51
var0023	67
var0024	195
var0025	78
var0026	533
var0027	94
var0028	205
var0029	23
var0030	126
var0031	225
var0032	20
var0033	149
var0034	279
var0035	569
var0036	215
var0037	815
var0038	71
var0039	367
var0040	195
var0041	51
var0042	92
var0043	212
var0044	372
var0045	50
var0046	22
var0047	50
var0048	297
var0049	194
var0050	23
var0051	59
var0052	227
var0053	113
var0054	405
var0055	107
var0056	26
var0057	68
var0058	131
var0059	404
var0060	284
var0061	185
var0062	233
var0063	27
var0064	153
var0065	138
var0066	147
var0067	181
var0068	99
var0069	212
var0070	163
var0071	55
var0072	193
var0073	471
var0074	124
var0075	231
var0076	332
var0077	230
var0078	250
var0079	99
var0080	15
var0081	31
var0082	306
var0083	471
var0084	584
var0085	147
var0086	84
var0087	39
var0088	475
var0089	96
var0090	237
var0091	47
var0092	80
var0093	91
var0094	36
var0095	201
var0096	147
var0097	91
var0098	131
var0099	265
var0100	266
var0101	68
var0102	106
var0103	51
var0104	231
var0105	46
var0106	81
var0107	65
var0108	272
var0109	57
var0110	30
var0111	156
var0112	198
var0113	462
var0114	177
var0115	309
var0116	182
var0117	106
var0118	458
var0119	153
var0120	140
var0121	127
var0122	297
var0123	203
var0124	460
var0125	142
var0126	133
var0127	115
var0128	191
var0129	76
var0130	122
var0131	193
var0132	142
var0133	131
var0134	188
var0135	64
var0136	101
var0137	262
var0138	127
var0139	225
var0140	73
var0141	91
var0142	282
var0143	157
var0144	78
var0145	109
var0146	34
var0147	307
var0148	105
var0149	60
var0150	123
var0151	61
var0152	28
var0153	89
var0154	442
var0155	191
var0156	100
var0157	350
var0158	103
var0159	103
var0160	39
var0161	174
var0162	68
var0163	326
var0164	121
var0165	78
var0166	75
var0167	187
var0168	175
var0169	70
var0170	132
var0171	391
var0172	1525
var0173	787
var0174	84
var0175	175
var0176	60
var0177	50
var0178	260
var0179	130
var0180	65
var0181	98
var0182	150
var0183	29
var0184	110
var0185	133
var0186	72
var0187	321
var0188	21
var0189	209
var0190	183
var0191	325
var0192	217
var0193	26
var0194	239
var0195	142
var0196	154
var0197	24
var0198	111
var0199	23
var0200	247
var0201	11
var0202	132
var0203	98
var0204	163
var0205	34
var0206	99
var0207	814
var0208	221
var0209	115
var0210	52
var0211	70
var0212	409
var0213	446
var0214	451
var0215	10
var0216	63
var0217	169
var0218	10
var0219	185
var0220	154
var0221	428
var0222	426
var0223	417
var0224	191
var0225	132
var0226	243
var0227	146
var0228	110
var0229	139
var0230	190
var0231	148
var0232	174
var0233	212
var0234	82
var0235	174
var0236	252
var0237	108
var0238	302
var0239	70
var0240	143
var0241	142
var0242	34
var0243	650
var0244	97
var0245	124
var0246	679
var0247	1133
var0248	294
var0249	148
var0250	241
var0251	447
var0252	121
var0253	153
var0254	569
var0255	49
var0256	40
var0257	262
var0258	269
var0259	261
var0260	177
var0261	129
var0262	569
var0263	169
var0264	167
var0265	487
var0266	334
var0267	199
var0268	48
var0269	199
var0270	205
var0271	267
var0272	569
var0273	67
var0274	131
var0275	68
var0276	285
var0277	71
var0278	415
var0279	56
var0280	218
var0281	156
var0282	172
var0283	307
var0284	50
var0285	203
var0286	232
var0287	21
var0288	99
var0289	124
var0290	115
var0291	124
var0292	222
var0293	237
var0294	94
var0295	77
var0296	36
var0297	149
var0298	103
var0299	498
var0300	95
var0301	27
var0302	100
var0303	192
var0304	72
var0305	74
var0306	134
var0307	346
var0308	100
var0309	31
var0310	43
var0311	184
var0312	207
var0313	164
var0314	76
var0315	88
var0316	152
var0317	523
var0318	64
var0319	102
var0320	198
var0321	119
var0322	140
var0323	99
var0324	209
var0325	403
var0326	113
var0327	888
var0328	278
var0329	398
var0330	85
var0331	227
var0332	327
var0333	7
var0334	135
var0335	178
var0336	292
var0337	441
var0338	44
var0339	333
var0340	636
var0341	81
var0342	205
var0343	56
var0344	58
var0345	117
var0346	57
var0347	59
var0348	186
var0349	690
var0350	89
var0351	273
var0352	32
var0353	229
var0354	365
var0355	91
var0356	188
var0357	301
var0358	253
var0359	104
var0360	238
var0361	312
var0362	204
var0363	293
var0364	132
var0365	84
var0366	591
var0367	210
var0368	141
var0369	113
var0370	344
var0371	66
var0372	239
var0373	486
var0374	201
var0375	40
var0376	312
var0377	167
var0378	24
var0379	632
var0380	135
var0381	104
var0382	93
var0383	296
var0384	320
var0385	142
var0386	371
var0387	170
var0388	368
var0389	144
var0390	312
var0391	53
var0392	83
var0393	222
var0394	193
var0395	59
var0396	111
var0397	180
var0398	169
var0399	128
var0400	12
var0401	265
var0402	135
var0403	253
var0404	259
var0405	163
var0406	221
var0407	233
var0408	235
var0409	121
var0410	305
var0411	111
var0412	133
var0413	161
var0414	29
var0415	475
var0416	588
var0417	147
var0418	96
var0419	238
var0420	108
var0421	57
var0422	254
var0423	16
var0424	597
var0425	669
var0426	31
var0427	180
var0428	490
var0429	410
var0430	307
var0431	122
var0432	43
var0433	265
var0434	115
var0435	3
var0436	150
var0437	222
var0438	35
var0439	328
var0440	384
var0441	643
var0442	98
var0443	265
var0444	314
var0445	214
var0446	106
var0447	295
var0448	124
var0449	362
var0450	130
var0451	64
var0452	158
var0453	493
var0454	99
var0455	125
var0456	453
var0457	393
var0458	61
var0459	315
var0460	105
var0461	326
var0462	119
var0463	166
var0464	58
var0465	175
var0466	47
var0467	68
var0468	248
var0469	22
var0470	91
var0471	404
var0472	441
var0473	175
var0474	353
var0475	192
var0476	232
var0477	84
var0478	152
var0479	247
var0480	285
var0481	436
var0482	219
var0483	1140
var0484	271
var0485	207
var0486	135
var0487	19
var0488	559
var0489	93
var0490	107
var0491	134
var0492	166
var0493	139
var0494	222
var0495	242
var0496	80
var0497	252
var0498	466
var0499	379
var0500	824
var0501	35
var0502	84
var0503	224
var0504	153
var0505	136
var0506	244
var0507	169
var0508	158
var0509	34
var0510	114
var0511	111
var0512	219
var0513	197
var0514	435
var0515	50
var0516	31
var0517	130
var0518	162
var0519	91
var0520	434
var0521	173
var0522	17
var0523	38
var0524	110
var0525	42
var0526	41
var0527	169
var0528	233
var0529	36
var0530	230
var0531	31
var0532	18
var0533	110
var0534	196
var0535	416
var0536	251
var0537	214
var0538	376
var0539	117
var0540	134
var0541	418
var0542	184
var0543	205
var0544	24
var0545	20
var0546	293
var0547	25
var0548	46
var0549	5
var0550	141
var0551	61
var0552	34
var0553	795
var0554	157
var0555	72
var0556	188
var0557	206
var0558	535
var0559	394
var0560	233
var0561	279
var0562	108
var0563	182
var0564	79
var0565	126
var0566	200
var0567	355
var0568	69
var0569	60
var0570	283
var0571	35
var0572	820
var0573	47
var0574	172
var0575	119
var0576	319
var0577	85
var0578	86
var0579	70
var0580	121
var0581	142
var0582	31
var0583	236
var0584	51
var0585	252
var0586	122
var0587	205
var0588	462
var0589	72
var0590	398
var0591	82
var0592	200
var0593	90
var0594	131
var0595	277
var0596	38
var0597	104
var0598	118
var0599	256
var0600	270
var0601	139
var0602	277
var0603	115
var0604	185
var0605	116
var0606	122
var0607	77
var0608	26
var0609	373
var0610	145
var0611	153
var0612	194
var0613	110
var0614	234
var0615	123
var0616	215
var0617	34
var0618	402
var0619	9
var0620	252
var0621	65
var0622	260
var0623	412
var0624	189
var0625	97
var0626	69
var0627	187
var0628	44
var0629	564
var0630	183
var0631	1154
var0632	204
var0633	249
var0634	172
var0635	206
var0636	195
var0637	46
var0638	115
var0639	389
var0640	209
var0641	126
var0642	234
var0643	218
var0644	19
var0645	134
var0646	155
var0647	157
var0648	473
var0649	111
var0650	672
var0651	19
var0652	227
var0653	76
var0654	229
var0655	585
var0656	161
var0657	83
var0658	191
var0659	224
var0660	22
var0661	406
var0662	160
var0663	274
var0664	407
var0665	500
var0666	235
var0667	321
var0668	383
var0669	142
var0670	529
var0671	92
var0672	377
var0673	223
var0674	48
var0675	346
var0676	545
var0677	338
var0678	83
var0679	84
var0680	531
var0681	202
var0682	176
var0683	50
var0684	89
var0685	641
var0686	48
var0687	194
var0688	202
var0689	376
var0690	33
var0691	240
var0692	325
var0693	450
var0694	267
var0695	128
var0696	129
var0697	154
var0698	162
var0699	148
var0700	62
var0701	69
var0702	40
var0703	62
var0704	108
var0705	98
var0706	110
var0707	140
var0708	807
var0709	172
var0710	386
var0711	283
var0712	189
var0713	268
var0714	101
var0715	12
var0716	40
var0717	192
var0718	92
var0719	33
var0720	86
var0721	48
var0722	282
var0723	1346
var0724	117
var0725	21
var0726	62
var0727	132
var0728	39
var0729	76
var0730	56
var0731	73
var0732	173
var0733	264
var0734	131
var0735	43
var0736	176
var0737	65
var0738	179
var0739	347
var0740	116
var0741	87
var0742	9
var0743	413
var0744	360
var0745	634
var0746	131
var0747	122
var0748	51
var0749	180
var0750	25
var0751	175
var0752	398
var0753	328
var0754	27
var0755	204
var0756	318
var0757	73
var0758	292
var0759	202
var0760	215
var0761	111
var0762	226
var0763	21
var0764	314
var0765	1403
var0766	145
var0767	606
var0768	47
var0769	319
var0770	135
var0771	389
var0772	198
var0773	136
var0774	227
var0775	63
var0776	102
var0777	103
var0778	107
var0779	464
var0780	184
var0781	25
var0782	80
var0783	117
var0784	115
var0785	120
var0786	231
var0787	327
var0788	221
var0789	548
var0790	340
var0791	191
var0792	63
var0793	59
var0794	177
var0795	22
var0796	241
var0797	78
var0798	130
var0799	36
var0800	72
var0801	92
var0802	462
var0803	67
var0804	324
var0805	446
var0806	87
var0807	262
var0808	138
var0809	74
var0810	87
var0811	333
var0812	81
var0813	72
var0814	64
var0815	99
var0816	256
var0817	265
var0818	31
var0819	82
var0820	65
var0821	439
var0822	187
var0823	353
var0824	299
var0825	153
var0826	100
var0827	63
var0828	141
var0829	539
var0830	686
var0831	162
var0832	132
var0833	286
var0834	118
var0835	262
var0836	71
var0837	55
var0838	75
var0839	228
var0840	401
var0841	191
var0842	292
var0843	49
var0844	84
var0845	377
var0846	141
var0847	177
var0848	343
var0849	242
var0850	1210
var0851	102
var0852	30
var0853	167
var0854	136
var0855	168
var0856	168
